id	M	dec_year	latitude	longitude	depth	strike	dip	rake	s11	s12	s13	s22	s23	s33
42.0	3.4	1997.749844	43.082869	12.840198	2.634	55.0	80.0	-160.0	1554000.0	329700.0	-1047000.0	31660.0	-64230.0	958800.0
43.0	2.9	1997.74985	43.058032	12.883892	2.051	135.0	25.0	-60.0	-1704000.0	-1057000.0	-343300.0	-1112000.0	-1545000.0	3959000.0
44.0	2.4	1997.749857	43.082723	12.839185	2.458	60.0	70.0	-150.0	1091000.0	220200.0	-1029000.0	-109700.0	-13930.0	247200.0
45.0	2.4	1997.749949	43.004903	12.900328	4.136	70.0	65.0	-160.0	-244700.0	-487500.0	4893.0	-580500.0	107.1	791700.0
46.0	3.4	1997.749956	43.038802	12.873209	1.872	80.0	65.0	160.0	-575900.0	3761.0	555300.0	275900.0	-214300.0	-185900.0
47.0	3.1	1997.750587	43.038432	12.872766	1.891	115.0	50.0	160.0	-575900.0	3761.0	555300.0	275900.0	-214300.0	-185900.0
48.0	2.4	1997.750721	43.051717	12.871444	2.551	280.0	90.0	-160.0	-1290000.0	-434100.0	351400.0	749200.0	-472400.0	1452000.0
49.0	2.4	1997.750728	43.03396	12.900974	4.061	140.0	40.0	-130.0	600400.0	587500.0	151500.0	714900.0	-147500.0	-1268000.0
50.0	2.9	1997.75078	43.014299	12.852185	4.978	115.0	25.0	-60.0	-1371000.0	-124300.0	230000.0	-52670.0	59560.0	-241600.0
51.0	2.9	1997.750785	43.016288	12.853124	5.235	320.0	65.0	-120.0	-1278000.0	-85200.0	391800.0	-86350.0	111000.0	-269000.0
52.0	2.9	1997.75088	42.990031	12.851878	1.859	160.0	60.0	-50.0	-165500.0	1262.0	-80190.0	33760.0	-52880.0	-23870.0
53.0	3.5	1997.750966	43.041191	12.874262	2.014	45.0	35.0	100.0	-619800.0	89580.0	745900.0	400200.0	-444700.0	-178100.0
54.0	3.3	1997.751025	43.041154	12.874466	1.827	70.0	40.0	130.0	-619800.0	89580.0	745900.0	400200.0	-444700.0	-178100.0
55.0	2.4	1997.751169	43.041219	12.911592	6.913	140.0	35.0	-80.0	56470.0	108900.0	36670.0	335600.0	3674.0	-326300.0
56.0	2.4	1997.751274	43.019796	12.854417	5.074	140.0	25.0	-50.0	-1742000.0	-253100.0	471700.0	-34490.0	172200.0	-404300.0
57.0	2.9	1997.751812	43.062703	12.834793	5.085	350.0	80.0	20.0	-1710000.0	-2393000.0	-455700.0	-3303000.0	-223200.0	4750000.0
58.0	2.4	1997.752226	43.030774	12.833567	6.512	85.0	80.0	-100.0	-352100.0	-155000.0	689200.0	-144600.0	522900.0	-690400.0
59.0	2.4	1997.752565	43.022144	12.834627	4.713	140.0	20.0	-70.0	-1201000.0	-757700.0	229900.0	-558000.0	90870.0	-101300.0
60.0	2.9	1997.752571	43.048857	12.845305	4.19	115.0	55.0	-120.0	-2447000.0	-1458000.0	248200.0	-1877000.0	249900.0	-1977000.0
61.0	2.4	1997.753059	42.955518	12.928904	3.24	155.0	65.0	-80.0	21210.0	75710.0	50580.0	66190.0	15270.0	-68180.0
62.0	2.4	1997.753263	43.104333	12.805805	3.449	165.0	55.0	-50.0	507900.0	-256500.0	-538000.0	13890.0	364000.0	806200.0
63.0	2.9	1997.753481	42.940617	12.910445	5.733	115.0	70.0	-50.0	-195600.0	-262.4	27000.0	49490.0	4499.0	-16100.0
64.0	2.4	1997.753504	43.004708	12.845566	1.819	150.0	35.0	-70.0	-275300.0	-41570.0	-121100.0	53540.0	-58070.0	-35480.0
65.0	2.4	1997.753544	42.940255	12.912324	5.679	105.0	40.0	-40.0	-182400.0	17020.0	29720.0	54960.0	5667.0	-21010.0
66.0	3.4	1997.75366	43.057507	12.879353	2.293	105.0	55.0	-120.0	-4678000.0	-2863000.0	-323800.0	-2422000.0	-1459000.0	5028000.0
67.0	2.4	1997.753668	42.942627	12.923816	2.472	115.0	65.0	-120.0	-6202.0	39100.0	-6420.0	32840.0	11660.0	-24200.0
68.0	3.3	1997.753791	43.105355	12.805236	3.47	165.0	60.0	-50.0	507900.0	-256500.0	-538000.0	13890.0	364000.0	806200.0
69.0	5.0	1997.753926	43.037976	12.847501	4.817	141.0	43.0	-74.0	-3834000.0	-1986000.0	709800.0	-2480000.0	281100.0	-2451000.0
70.0	3.4	1997.754067	43.048873	12.890957	2.058	290.0	90.0	-150.0	-1326000.0	-294600.0	827500.0	225800.0	-1401000.0	2038000.0
71.0	2.4	1997.754071	42.951489	12.914049	3.235	140.0	55.0	-80.0	-80590.0	51300.0	-27100.0	69090.0	8189.0	-74240.0
