id	M	dec_year	latitude	longitude	depth	strike	dip	rake	s11	s12	s13	s22	s23	s33
42.0	2.0	2009.262041	42.32836	13.40784	7.622	120.0	60.0	-110.0	-681800.0	-183800.0	-929900.0	-2595000.0	-290200.0	-3718000.0
43.0	2.0	2009.262041	42.32652	13.41199	7.195	105.0	55.0	-120.0	-681800.0	-183800.0	-929900.0	-2595000.0	-290200.0	-3718000.0
44.0	2.0	2009.262041	42.32652	13.41199	7.195	120.0	60.0	-110.0	-224400.0	334000.0	-562300.0	-2458000.0	126400.0	-3792000.0
45.0	2.0	2009.262059	42.37845	13.35761	7.826	25.0	35.0	20.0	396900.0	-521300.0	1693000.0	-289200.0	79010.0	865600.0
46.0	3.37	2009.262111	42.39922	13.32883	7.888	345.0	30.0	-65.0	116800.0	180700.0	2906.0	556000.0	-209000.0	-313400.0
47.0	2.5	2009.262132	42.33708	13.42306	6.41	15.0	30.0	-40.0	-1035000.0	-1139000.0	859700.0	-3397000.0	1606000.0	1987000.0
48.0	1.9	2009.262182	42.33278	13.40259	8.43	55.0	30.0	-110.0	50230.0	-2011000.0	1672000.0	-2981000.0	1320000.0	3564000.0
49.0	1.6	2009.262194	42.31067	13.43709	7.778	40.0	55.0	0.0	-4350000.0	-466400.0	-180600.0	-5213000.0	1778000.0	-9472000.0
50.0	1.9	2009.262233	42.32689	13.41613	7.037	140.0	45.0	-120.0	-584200.0	-113800.0	-773700.0	-3014000.0	150900.0	-5037000.0
51.0	1.8	2009.262263	42.37199	13.35494	8.062	160.0	60.0	-60.0	-115400.0	-1385000.0	1890000.0	-206100.0	-187600.0	4103000.0
52.0	2.2	2009.262304	42.26324	13.48726	6.363	100.0	45.0	-50.0	226400.0	412300.0	-413700.0	421800.0	-196500.0	-1005000.0
53.0	1.8	2009.262321	42.33858	13.3912	8.0	80.0	80.0	-90.0	-2298000.0	-1041000.0	-789300.0	-1523000.0	-836500.0	-3021000.0
54.0	2.9	2009.262384	42.25198	13.50816	6.12	350.0	35.0	-60.0	180500.0	216900.0	-281000.0	250000.0	-55890.0	-683000.0
55.0	2.0	2009.262406	42.36446	13.35032	8.704	55.0	15.0	0.0	105900.0	-202800.0	183200.0	-546400.0	308700.0	526900.0
56.0	1.6	2009.262474	42.36121	13.35121	7.831	190.0	65.0	100.0	314400.0	216100.0	-349000.0	-912100.0	-166000.0	-1033000.0
57.0	2.0	2009.262483	42.33674	13.38447	9.111	110.0	60.0	-130.0	-1130000.0	-3105000.0	2606000.0	-4515000.0	1634000.0	7091000.0
58.0	1.5	2009.262514	42.2568	13.49607	6.498	140.0	45.0	-100.0	102100.0	247800.0	-394200.0	247600.0	-144600.0	-777900.0
59.0	2.6	2009.262528	42.25736	13.49569	6.423	130.0	50.0	-120.0	228000.0	287100.0	-358300.0	271700.0	-140100.0	-848500.0
60.0	1.8	2009.262537	42.2567	13.49472	6.662	125.0	65.0	-120.0	-7892.0	248200.0	-440500.0	235600.0	-156800.0	-761400.0
61.0	2.3	2009.262563	42.2837	13.49352	5.049	160.0	75.0	-60.0	1140000.0	276500.0	615400.0	1009000.0	-92160.0	442300.0
62.0	1.5	2009.262569	42.38641	13.40165	3.047	360.0	90.0	-80.0	-1681000.0	-2398000.0	1687000.0	-888100.0	-1026000.0	6595000.0
63.0	3.79	2009.2626	42.39557	13.34888	7.381	175.0	55.0	-55.0	-253100.0	148600.0	154900.0	855200.0	-375000.0	-388800.0
64.0	1.9	2009.262608	42.38104	13.34808	8.244	75.0	45.0	-180.0	417900.0	-669000.0	1568000.0	-647700.0	204500.0	1014000.0
65.0	2.1	2009.262627	42.32853	13.40841	8.109	125.0	15.0	-150.0	812500.0	758300.0	-1006000.0	-2101000.0	69470.0	-5839000.0
66.0	1.8	2009.262656	42.37456	13.36837	7.211	70.0	55.0	-110.0	-929500.0	108600.0	-111800.0	1851000.0	-882400.0	-1477000.0
67.0	2.5	2009.262662	42.40514	13.34333	6.446	165.0	60.0	-30.0	714.7	187300.0	34320.0	608200.0	-295400.0	-172000.0
68.0	1.2	2009.262668	42.36578	13.36725	7.576	170.0	75.0	-80.0	-1442000.0	-2595000.0	2391000.0	-1795000.0	1129000.0	3816000.0
69.0	1.5	2009.262707	42.29775	13.48565	3.46	60.0	55.0	80.0	1272000.0	-37780.0	999800.0	1038000.0	-934400.0	821900.0
70.0	2.2	2009.262714	42.38337	13.39926	3.123	105.0	65.0	-90.0	-5340000.0	-5300000.0	2473000.0	-6204000.0	903500.0	8696000.0
71.0	2.2	2009.262725	42.31821	13.40821	8.982	95.0	60.0	-60.0	1293000.0	523000.0	-1462000.0	-242500.0	-398800.0	-355800.0
72.0	5.0	2009.262749	42.47015	13.39565	8.473	330.0	40.0	-90.0	47150.0	14410.0	77410.0	102500.0	-21450.0	108000.0
73.0	1.5	2009.262772	42.37184	13.3684	7.487	160.0	50.0	-90.0	11470.0	-405400.0	1852000.0	1019000.0	-799000.0	177500.0
74.0	2.6	2009.262781	42.33909	13.38959	8.338	165.0	75.0	-60.0	-1838000.0	-1638000.0	-151600.0	-2954000.0	-294300.0	-1497000.0
75.0	1.6	2009.262789	42.36355	13.36485	7.85	5.0	30.0	10.0	-996400.0	-2545000.0	2534000.0	-1375000.0	706300.0	5216000.0
76.0	1.5	2009.262809	42.3768	13.35552	7.73	160.0	70.0	-50.0	719700.0	-469700.0	1561000.0	480500.0	-528900.0	2663000.0
77.0	3.2	2009.262814	42.36838	13.40968	4.646	155.0	50.0	-60.0	-5085000.0	-5712000.0	1920000.0	-6473000.0	1523000.0	6242000.0
78.0	2.5	2009.262817	42.32122	13.41221	8.211	120.0	65.0	-80.0	248400.0	127400.0	-973200.0	-2100000.0	90740.0	-2473000.0
79.0	2.5	2009.262822	42.32345	13.40509	8.636	145.0	80.0	-80.0	565400.0	845800.0	-1188000.0	59400.0	-33560.0	-1507000.0
80.0	2.1	2009.262824	42.32605	13.41111	7.637	130.0	50.0	-110.0	-733400.0	-164000.0	-725400.0	-3040000.0	283400.0	-4534000.0
