id	M	dec_year	latitude	longitude	depth	strike	dip	rake	s11	s12	s13	s22	s23	s33
41.0	3.08	2019.506223	35.61347	-117.58348	7.713	192.0	78.0	158.0	-20750000.0	-3428000.0	-10520000.0	17810000.0	-12050000.0	1241000.0
42.0	1.69	2019.506227	35.64178	-117.5524	8.229	166.0	70.0	124.0	1739000.0	6138000.0	1696000.0	6053000.0	1445000.0	-21480.0
43.0	3.42	2019.506236	35.66873	-117.51245	3.101	288.0	78.0	173.0	1512000.0	2626000.0	-158000.0	-184200.0	-1419000.0	1618000.0
44.0	2.74	2019.50624	35.71703	-117.52962	5.41	111.0	84.0	-155.0	9070000.0	-484200.0	-393500.0	1143000.0	-247800.0	1312000.0
45.0	3.25	2019.50625	35.629	-117.59952	10.626	140.0	76.0	-120.0	19660.0	26450.0	113200.0	-2389000.0	219900.0	-1029000.0
46.0	3.35	2019.506318	35.67613	-117.50647	4.672	155.0	87.0	-158.0	4920000.0	745000.0	1607000.0	-10400000.0	4207000.0	-3060000.0
47.0	2.3	2019.506284	35.65582	-117.52693	9.147	335.0	84.0	-178.0	-651600.0	2176000.0	-2609000.0	7767000.0	-296700.0	3873000.0
48.0	4.47	2019.506297	35.74211	-117.57371	2.49	317.0	87.0	-177.0	4028000.0	-1717000.0	866500.0	-800000.0	-273400.0	319700.0
49.0	2.25	2019.50631	35.69827	-117.50533	11.661	342.0	66.0	-151.0	-6119000.0	2153000.0	382200.0	7534000.0	-47540.0	24440.0
50.0	2.02	2019.506327	35.68733	-117.48775	5.909	94.0	56.0	130.0	-3710000.0	-2337000.0	343600.0	-8808000.0	338800.0	-979100.0
51.0	2.51	2019.506329	35.70038	-117.49195	9.951	235.0	50.0	-89.0	-1735000.0	-1544000.0	-298700.0	-1998000.0	-651600.0	-736400.0
52.0	2.62	2019.506331	35.69868	-117.48775	2.193	129.0	64.0	-151.0	-5249000.0	-2327000.0	-253900.0	-3791000.0	-3035000.0	-1822000.0
53.0	2.14	2019.506339	35.69475	-117.48188	2.765	43.0	39.0	-84.0	-3789000.0	-1579000.0	121800.0	-2457000.0	-1688000.0	-2074000.0
54.0	2.4	2019.506341	35.62582	-117.59834	11.431	337.0	46.0	-123.0	-374900.0	374800.0	-128900.0	-4437000.0	903200.0	-1346000.0
55.0	3.2	2019.506354	35.71993	-117.5215	4.953	292.0	83.0	168.0	7353000.0	330100.0	-425000.0	966300.0	-5494.0	2085000.0
56.0	2.13	2019.506381	35.63614	-117.56305	8.529	116.0	42.0	134.0	10220000.0	6225000.0	-3895000.0	3707000.0	199300.0	-281800.0
57.0	2.17	2019.506449	35.62442	-117.56728	3.74	334.0	81.0	-152.0	18060000.0	7193000.0	-828300.0	-20470000.0	617700.0	137100.0
58.0	2.59	2019.506402	35.70155	-117.48178	1.783	292.0	88.0	172.0	-4440000.0	-2538000.0	-270100.0	-6488000.0	-2282000.0	-1365000.0
59.0	3.49	2019.506411	35.66888	-117.46706	9.221	333.0	78.0	167.0	-1608000.0	-381200.0	293600.0	-2051000.0	-1078000.0	-978500.0
